country,sku,spend_per_unit,ad_spend_eur,units_ordered
DE,VV-VITA-276,3.290602,5521.63,1678
DE,VV-VITA-277,2.70686,327.53,121
DE,VV-VITA-284,1.868375,298.94,160
DE,VV-VITA-286,1.375294,93.52,68
DE,VV-VITA-287,1.060651,781.7,737
DE,VV-VITA-297,3.266549,738.24,226
DE,VV-VITA-298,1.702576,112.37,66
DE,VV-VITA-301,1.11121,174.46,157
DE,VV-VITA-303,1.263095,53.05,42
DE,VV-VITA-304,0.772748,233.37,302
DE,VV-VITA-307,,0.0,0
DE,VV-VITA-308,3.881545,477.43,123
DE,VV-VITA-31,2.330502,1440.25,618
DE,VV-VITA-310,2.212823,650.57,294
DE,VV-VITA-311,1.495753,436.76,292
DE,VV-VITA-313,1.214103,94.7,78
DE,VV-VITA-314,1.610955,13074.51,8116
DE,VV-VITA-316,2.466652,1119.86,454
DE,VV-VITA-317,1.682072,698.06,415
DE,VV-VITA-318,1.143107,117.74,103
DE,VV-VITA-319,1.050667,78.8,75
DE,VV-VITA-320,5.647284,5031.73,891
DE,VV-VITA-320-V,1.945345,647.8,333
DE,VV-VITA-326,2.749855,1512.42,550
DE,VV-VITA-327,,0.0,0
DE,VV-VITA-329,2.663274,593.91,223
DE,VV-VITA-331,,0.0,0
DE,VV-VITA-333,1.251129,155.14,124
DE,VV-VITA-335,,0.0,0
DE,VV-VITA-336,3.39268,1228.15,362
DE,VV-VITA-337,,0.0,0
DE,VV-VITA-338,0.8516,42.58,50
DE,VV-VITA-339,2.208119,1925.48,872
DE,VV-VITA-340,0.94,61.1,65
DE,VV-VITA-341,5.648654,587.46,104
DE,VV-VITA-342,2.5022,125.11,50
DE,VV-VITA-343,,0.0,0
DE,VV-VITA-344,1.774773,156.18,88
DE,VV-VITA-345,3.303108,244.43,74
DE,VV-VITA-346,0.810088,92.35,114
DE,VV-VITA-348,,0.0,0
DE,VV-VITA-349,1.993051,117.59,59
DE,VV-VITA-350,,0.0,0
DE,VV-VITA-351,0.585854,48.04,82
DE,VV-VITA-352,1.4968,37.42,25
DE,VV-VITA-353,,0.0,0
DE,VV-VITA-354,1.370435,724.96,529
DE,VV-VITA-355,1.883859,932.51,495
DE,VV-VITA-355-V,1.916024,159.03,83
DE,VV-VITA-356,0.67348,230.33,342
DE,VV-VITA-357,1.684483,97.7,58
DE,VV-VITA-358,,0.0,0
DE,VV-VITA-359,0.842424,55.6,66
DE,VV-VITA-360,0.288333,5.19,18
DE,VV-VITA-361,1.994578,331.1,166
DE,VV-VITA-362,1.71,46.17,27
DE,VV-VITA-363,4.005115,696.89,174
DE,VV-VITA-363-V,0.579825,33.05,57
DE,VV-VITA-364,4.327732,5838.11,1349
DE,VV-VITA-365,1.866207,108.24,58
DE,VV-VITA-366,1.701324,115.69,68
DE,VV-VITA-367,1.789643,100.22,56
DE,VV-VITA-368,2.229091,171.64,77
DE,VV-VITA-369,3.976481,214.73,54
DE,VV-VITA-370,2.869067,4335.16,1511
DE,VV-VITA-370-V,1.846739,764.55,414
DE,VV-VITA-371,2.868836,1084.42,378
DE,VV-VITA-372,0.695,8.34,12
DE,VV-VITA-373,4.741053,90.08,19
DE,VV-VITA-374,0.600811,22.23,37
DE,VV-VITA-375,0.556,8.34,15
DE,VV-VITA-376,2.815175,2007.22,713
DE,VV-VITA-377,2.403343,4061.65,1690
DE,VV-VITA-378,0.757129,76.47,101
DE,VV-VITA-379,1.032251,486.19,471
DE,VV-VITA-38,19.893494,1651.16,83
DE,VV-VITA-380,0.377206,51.3,136
DE,VV-VITA-381,2.484619,9004.26,3624
DE,VV-VITA-382,5.626093,1699.08,302
DE,VV-VITA-383,0.480312,15.37,32
DE,VV-VITA-384,0.713125,34.23,48
DE,VV-VITA-385,4.312979,1259.39,292
DE,VV-VITA-386,0.601875,9.63,16
DE,VV-VITA-387,1.879231,24.43,13
DE,VV-VITA-388,2.043654,743.89,364
DE,VV-VITA-389,,0.0,0
DE,VV-VITA-39,0.946734,376.8,398
DE,VV-VITA-390,1.7528,43.82,25
DE,VV-VITA-391,5.333934,5531.29,1037
DE,VV-VITA-392,4.500735,918.15,204
DE,VV-VITA-393,0.97125,7.77,8
DE,VV-VITA-394,1.939429,67.88,35
DE,VV-VITA-395,0.962241,55.81,58
DE,VV-VITA-396,0.514418,194.45,378
DE,VV-VITA-397,1.538,69.21,45
DE,VV-VITA-398,1.016889,45.76,45
DE,VV-VITA-399,2.43,4.86,2
DE,VV-VITA-400,0.341429,2.39,7
DE,VV-VITA-401,0.293636,6.46,22
DE,VV-VITA-402,2.105319,98.95,47
DE,VV-VITA-403,7.013192,6283.82,896
DE,VV-VITA-404,9.778261,224.9,23
DE,VV-VITA-405,17.845501,16935.38,949
DE,VV-VITA-406,,0.0,0
DE,VV-VITA-407,7.528274,3575.93,475
DE,VV-VITA-408,6.551659,1461.02,223
DE,VV-VITA-409,23.926693,3038.69,127
DE,VV-VITA-410,0.956852,51.67,54
DE,VV-VITA-411,7.508205,585.64,78
DE,VV-VITA-412,0.412727,4.54,11
DE,VV-VITA-413,0.358667,5.38,15
DE,VV-VITA-414,0.52,5.2,10
DE,VV-VITA-415,0.443077,5.76,13
DE,VV-VITA-417,0.568136,33.52,59
DE,VV-VITA-46,2.341633,229.48,98
DE,VV-VITA-49,0.63926,233.33,365
DE,VV-VITA-49-V2,0.690685,50.42,73
DE,VV-VITA-50,1.499639,290.93,194
DE,VV-VITA-57-V,1.02947,135.89,132
DE,VV-VITA-57-V2,0.732121,48.32,66
DE,VV-VITA-63,3.334656,630.25,189
DE,VV-VITA-86,4.458761,1475.85,331
DE,VV-VITA-88,1.364233,222.37,163
DE,VV-VITA-90,3.471477,11820.38,3405
DE,VV-VITA-93,2.671062,854.74,320
DE,VV-VITA-94,1.578727,86.83,55
DE,X000B9MIOJ,,0.0,0
DE,X000JAMLM9,,0.0,0
DE,X000S1IW27,,0.0,0
DE,X000U8MRNX,,0.0,0
DE,X000Z8SCWD,,0.0,0
DE,X0012COY6J,,0.0,0
DE,X0014247Y1,,0.0,0
DE,X0014HYRMD,,0.0,0
DE,X00168GF4D,,0.0,0
DE,X0016OLROP,,0.0,0
DE,X0017JDSY1,,0.0,0
DE,X00183R5JF,,0.0,0
DE,X0018P095P,,0.0,0
DE,X0019ULLQZ,,0.0,0
DE,X001AFGHG3,,0.0,0
DE,X001BUZUQP,,0.0,0
DE,X001CM7547,,0.0,0
DE,X001DE6XMT,,0.0,0
DE,X001DWN2JD,,0.0,0
DE,X001F2XSPJ,,0.0,0
DE,X001HLVFRB,,0.0,0
DE,X001IZAU2H,,0.0,0
DE,X001NPB4AT,,0.0,0
DE,X001O8DTXZ,,0.0,0
DE,X001TN311P,,0.0,0
DE,X001WIBEVV,,0.0,0
DE,X0020Y7TPV,,0.0,0
DE,X0021MZQSJ,,0.0,0
DE,X0021N245L,,0.0,0
DE,X0021N2I4D,,0.0,0
DE,X00243CMH3,,0.0,0
DE,X00243V4A9,,0.0,0
DE,X0024HJM09,,0.0,0
DE,X0028N5A4V,,0.0,0
DE,X002DIJVL9,,0.0,0
DE,X002DIPIKR,,0.0,0
DE,X002DIRCLF,,0.0,0
DE,X002FZKY4D,,0.0,0
ES,2R-49NC-R697,2.028642,1434.25,707
ES,BJ-E223-8EKW,2.721298,1216.42,447
ES,CP-DQMG-RVN9,1.28918,78.64,61
ES,CW-KVIN-V39Y,0.859452,125.48,146
ES,NB-49AE-8MWZ,,0.0,0
ES,NX-CVPF-VCEZ,3.992865,1477.36,370
ES,TU-QNYD-JRRX,3.825607,3404.79,890
ES,VI-ZU99-SZ0B,2.336135,1317.58,564
ES,VV-ALO-06,5.459661,322.12,59
ES,VV-VITA-02,1.365962,568.24,416
ES,VV-VITA-101,3.379455,3288.21,973
ES,VV-VITA-102,3.003014,438.44,146
ES,VV-VITA-104,3.020977,1051.3,348
ES,VV-VITA-105,3.347783,1509.85,451
ES,VV-VITA-106,0.87,5.22,6
ES,VV-VITA-107,2.089658,2139.81,1024
ES,VV-VITA-109,0.463962,49.18,106
ES,VV-VITA-111,2.059369,1044.1,507
ES,VV-VITA-115,1.21,2.42,2
ES,VV-VITA-116,1.641481,177.28,108
ES,VV-VITA-119,3.222508,2133.3,662
ES,VV-VITA-121,3.469816,1505.9,434
ES,VV-VITA-122,1.812525,179.44,99
ES,VV-VITA-122-V,1.4132,35.33,25
ES,VV-VITA-124,1.41633,154.38,109
ES,VV-VITA-127,1.927925,1848.88,959
ES,VV-VITA-129,1.767854,362.41,205
ES,VV-VITA-136,2.453779,2421.88,987
ES,VV-VITA-142,3.547705,3029.74,854
ES,VV-VITA-143,3.432703,127.01,37
ES,VV-VITA-146,1.3056,97.92,75
ES,VV-VITA-151,5.314677,988.53,186
ES,VV-VITA-153,1.46906,171.88,117
ES,VV-VITA-155,2.110722,204.74,97
ES,VV-VITA-157,0.462919,85.64,185
ES,VV-VITA-158,0.508774,53.93,106
ES,VV-VITA-159,2.31745,936.25,404
ES,VV-VITA-160,,0.0,0
ES,VV-VITA-165,3.497082,1066.61,305
ES,VV-VITA-166,2.446146,939.32,384
ES,VV-VITA-168,2.154545,189.6,88
ES,VV-VITA-170,3.12,218.4,70
ES,VV-VITA-171,2.388623,1578.88,661
ES,VV-VITA-172,0.316444,14.24,45
ES,VV-VITA-173,1.05585,267.13,253
ES,VV-VITA-174,1.603231,208.42,130
ES,VV-VITA-181,2.631705,231.59,88
ES,VV-VITA-183,2.289008,299.86,131
ES,VV-VITA-186,2.014107,112.79,56
ES,VV-VITA-188,2.224286,155.7,70
ES,VV-VITA-189,1.06375,42.55,40
