country,sku,elasticity_raw,se,days,promo_days,elasticity,method
BE,VV-VITA-381,-0.0219592512183348,0.4451044350596528,175,0,-0.5144010415468505,estimated
BE,_default,-3.0,,0,0,-3.0,country-default
DE,BJ-E223-8EKW,-3.041154909675191,1.42572986752254,355,28,-2.1792317106233026,estimated
DE,CP-DQMG-RVN9,-1.5589664237576324,1.4054598927262827,366,38,-1.7495550431519975,estimated
DE,CW-KVIN-V39Y,0.26537856878056026,1.7841822105757912,322,15,-1.3978878756527116,estimated
DE,NX-CVPF-VCEZ,-1.7077033343344383,1.300622080244661,304,0,-1.7893565459092728,estimated
DE,TU-QNYD-JRRX,0.20648130808109033,2.231693183692583,272,42,-1.53976922032488,estimated
DE,VI-ZU99-SZ0B,1.5034618045689534,1.4011315981413435,183,17,-0.8426799416144145,estimated
DE,VV-ALO-06,-3.458932459087144,1.5676149272485083,366,0,-2.238998559178164,estimated
DE,VV-VITA-101,1.6141848675943427,1.8382192678495246,365,35,-1.153153325512067,estimated
DE,VV-VITA-102,-0.7416601351231701,1.7505893173226725,257,26,-1.5984205545679004,estimated
DE,VV-VITA-106,0.771485616099287,1.809692976341946,255,19,-1.305644668753637,estimated
DE,VV-VITA-107,1.91720778128218,1.466056918153516,366,44,-0.7896016254344924,estimated
DE,VV-VITA-109,0.07802728568681354,1.370409651510283,235,29,-1.2468503761160428,estimated
DE,VV-VITA-111,2.0620070948074836,1.3427172761133337,172,12,-0.6071003462366531,estimated
DE,VV-VITA-115,-2.307332460043479,2.057899616200907,256,35,-1.907197576762858,estimated
DE,VV-VITA-116,-4.903950984107139,1.9429192197499776,364,33,-2.380926943706795,estimated
DE,VV-VITA-119,1.2946281653130431,1.598763285384131,352,39,-1.0666238148104918,estimated
DE,VV-VITA-121,0.8997428494729842,1.7266298489963865,255,25,-1.2374331157070932,estimated
DE,VV-VITA-122,0.9952393526634055,1.1431145638174327,270,31,-0.7357105345649998,estimated
DE,VV-VITA-124,2.999086136167745,1.7776196483377247,135,8,-0.8291338215577664,estimated
DE,VV-VITA-127,4.479370916763419,3.6307954849988002,305,24,-1.457444131698741,estimated
DE,VV-VITA-129,3.384119030431991,1.5933426544873825,279,36,-0.5499990345886053,estimated
DE,VV-VITA-136,1.817342434804387,2.644438820310776,339,22,-1.4441974363550376,estimated
DE,VV-VITA-142,2.994435736439259,2.500444636869417,314,24,-1.2666117382726176,estimated
DE,VV-VITA-146,1.4585747543252752,1.7116166066210108,301,18,-1.1064504638635702,estimated
DE,VV-VITA-151,-0.2588162531228688,1.8915707005274562,363,29,-1.5348168679287408,estimated
DE,VV-VITA-153,-0.5057999323404909,1.6411596461403704,236,23,-1.5187488613727094,estimated
DE,VV-VITA-155,-10.194867180886082,2.4248933979645404,358,25,-2.8590514429615514,estimated
DE,VV-VITA-158,1.7543125111675906,1.6368737863620806,336,40,-0.985185419685753,estimated
DE,VV-VITA-159,-0.13655375595179342,1.4234730595906149,351,30,-1.3392386089881345,estimated
DE,VV-VITA-165,3.1620029291442737,1.5694600024510987,144,23,-0.5763706208659503,estimated
DE,VV-VITA-166,1.433294484551717,1.7901231106653133,170,21,-1.1609314133450321,estimated
DE,VV-VITA-168,-4.607561142916897,3.7077648548384117,197,25,-1.9865822996111773,estimated
DE,VV-VITA-170,-0.24382526537043336,1.6193214230497839,366,60,-1.4496121028417923,estimated
DE,VV-VITA-171,-1.2793602595888534,1.2430219479370785,316,15,-1.637736204302347,estimated
DE,VV-VITA-172,0.7585690794462555,1.3982757342717582,273,36,-1.060977800305858,estimated
DE,VV-VITA-173,2.9870170178868647,2.4635465355573314,334,28,-1.2525541025228901,estimated
DE,VV-VITA-174,2.8526288585943815,2.284260894578157,353,18,-1.1896889739340242,estimated
DE,VV-VITA-181,4.800294370964319,2.8107090524329967,248,23,-1.2020151474797738,estimated
DE,VV-VITA-183,8.257184261119415,2.7027943103898653,335,25,-0.8051447316412511,estimated
DE,VV-VITA-186,4.701536235879706,1.9338257459838972,133,21,-0.6482946979928607,estimated
DE,VV-VITA-188,0.037274556116476426,2.761196764748891,327,38,-1.646858000953759,estimated
DE,VV-VITA-189,-6.205258837954634,2.623777987278565,366,40,-2.2977523765228747,estimated
DE,VV-VITA-190,6.560909690233546,2.8821207725193903,349,26,-1.0707866649504711,estimated
DE,VV-VITA-197,2.5507133493580594,0.9551400167468066,342,21,-0.3,estimated
DE,VV-VITA-198,2.0242494331014944,2.477622019227253,293,21,-1.37243439258069,estimated
DE,VV-VITA-199,0.6973993572206131,2.3436637178040445,358,40,-1.4990983367056678,estimated
DE,VV-VITA-202,-0.5664363321853962,1.6454403916171776,360,36,-1.5341530455653678,estimated
DE,VV-VITA-203,-1.9371796374383032,1.0998011103644412,361,29,-1.873001660845274,estimated
DE,VV-VITA-204,1.8880456195731237,2.0758789190581988,363,35,-1.231600556266207,estimated
DE,VV-VITA-206,-1.7070209714180908,1.885871941494605,355,39,-1.8061855686755954,estimated
DE,VV-VITA-207,1.7215184907025873,1.6814010544400595,365,29,-1.026738778790969,estimated
DE,VV-VITA-208,-7.843711368545446,2.1775477077566787,354,9,-2.721015178513923,estimated
DE,VV-VITA-215,-2.613855997342087,2.096834166118387,366,25,-1.9532346066143718,estimated
DE,VV-VITA-216,0.7662357824762841,1.9509770708077285,258,9,-1.3666386330344569,estimated
DE,VV-VITA-222,0.9451972397762256,2.236320622083988,363,38,-1.4361384883000667,estimated
DE,VV-VITA-223,-0.49550781521767795,2.448626975278951,314,24,-1.6678027650189942,estimated
DE,VV-VITA-224,-2.787633155363214,1.6484267896190323,281,31,-2.052520848007088,estimated
DE,VV-VITA-225,-4.739519308692557,2.189253259033463,288,0,-2.25680900741274,estimated
DE,VV-VITA-227,0.3128039016795048,1.984134547727017,341,25,-1.4579094419122143,estimated
DE,VV-VITA-228,1.1398710211053364,1.4319191923689967,290,24,-0.9769647174668676,estimated
DE,VV-VITA-230,1.7147312295585218,1.9000929378304714,302,27,-1.169694145238984,estimated
DE,VV-VITA-231,-7.4631183136733314,1.591004863850287,323,42,-3.214673425735766,estimated
DE,VV-VITA-237,1.1687715106703485,3.441137115684157,340,44,-1.6338278849352466,estimated
DE,VV-VITA-243,-0.8530028498455826,0.7830423332548141,366,35,-1.2690629180385398,estimated
DE,VV-VITA-247,-0.12841156509964918,2.1316318910721197,362,22,-1.5677211451047788,estimated
DE,VV-VITA-248,-3.774190914668029,1.2708680857072863,365,29,-2.487060301298229,estimated
DE,VV-VITA-249,-0.9035906063687544,2.5092433979271846,327,43,-1.7219144958755659,estimated
DE,VV-VITA-250,-1.6028392967598428,2.188716982230276,350,29,-1.7959293170622774,estimated
DE,VV-VITA-252,1.0019206584795062,1.535270613391431,320,14,-1.0948660998781297,estimated
DE,VV-VITA-256,3.930871740997797,2.5886305769845213,352,32,-1.1974515149002545,estimated
DE,VV-VITA-257,4.795983153120084,3.5370950773535146,336,10,-1.4191249450661512,estimated
DE,VV-VITA-258,1.2639575733674389,2.9752783005954195,349,31,-1.565364068273317,estimated
DE,VV-VITA-259,0.7664481994520534,1.4054461161737741,295,31,-1.0641698131022606,estimated
DE,VV-VITA-262,-2.247678726984046,2.5360599630025034,231,8,-1.8768035956825284,estimated
DE,VV-VITA-264,1.5152361030389456,2.7956120459280793,361,43,-1.5097006702456504,estimated
DE,VV-VITA-266,-4.0427906444323805,0.9179450868096577,322,32,-2.924626918664501,estimated
DE,VV-VITA-276,3.667832918248502,1.8283991731649578,365,31,-0.7406331787328532,estimated
DE,VV-VITA-277,-0.41452578408013085,1.5291023738172411,269,11,-1.4600713794173799,estimated
DE,VV-VITA-284,-0.47496855222469964,1.573051580207628,319,26,-1.4904415814457401,estimated
DE,VV-VITA-286,-2.8025681803266034,3.2237905496699675,275,43,-1.9008263415314925,estimated
DE,VV-VITA-287,3.618690961660135,3.0401627778997584,328,29,-1.3825263067829396,estimated
DE,VV-VITA-297,5.945249225736284,2.9080713062636767,328,18,-1.1378146691627604,estimated
DE,VV-VITA-298,1.0278772054426597,2.2786057148174224,194,30,-1.437266878841188,estimated
DE,VV-VITA-301,-1.0365289595631473,1.5360467585781787,287,30,-1.6237526824478805,estimated
DE,VV-VITA-304,2.4781143976234086,2.528660366152936,303,26,-1.3367053157096702,estimated
DE,VV-VITA-308,-3.1307409941884217,2.725777813481146,277,43,-1.9593486092781598,estimated
DE,VV-VITA-31,-2.6692858208548844,1.9654536914020442,360,42,-1.9771129162919439,estimated
DE,VV-VITA-310,-0.2267361480804648,1.6992024284806815,291,29,-1.4729147635258906,estimated
DE,VV-VITA-311,-2.775988515818536,1.5247102830550616,328,34,-2.0772985863004005,estimated
DE,VV-VITA-313,0.2881639897598058,1.5002319955582597,243,32,-1.2610113776940834,estimated
DE,VV-VITA-314,-7.591122902253877,1.4682750124750685,366,40,-3.4246013357962086,estimated
DE,VV-VITA-316,-2.505688459529697,1.8984366420023766,357,23,-1.9552717254702425,estimated
DE,VV-VITA-317,1.3271037691417553,2.237289217377066,339,23,-1.382364085001562,estimated
DE,VV-VITA-318,-1.2490185253532746,2.349047743119678,245,30,-1.753702377169552,estimated
DE,VV-VITA-319,0.8869141387317813,2.693158057708051,230,20,-1.5516636214399737,estimated
DE,VV-VITA-320,-0.34378580698894123,0.8500005493677169,365,43,-1.037082166613016,estimated
DE,VV-VITA-320-V,-2.9676175216960994,1.8986027861703862,194,29,-2.0413262750896495,estimated
DE,VV-VITA-326,-4.437581231885607,1.9830967653296598,364,42,-2.281726798749305,estimated
DE,VV-VITA-329,-1.4180014758875799,1.7855512373280034,320,9,-1.7446312234949024,estimated
DE,VV-VITA-333,2.42252568457562,2.320715692882821,282,30,-1.2641353734896112,estimated
DE,VV-VITA-336,-4.990082138601877,1.4244934118586141,323,24,-2.7432370961348185,estimated
DE,VV-VITA-338,1.3400613386987696,1.3332459769953624,188,28,-0.8241484480313845,estimated
DE,VV-VITA-339,-1.9525076864363002,2.959877849788397,364,22,-1.839820157725149,estimated
DE,VV-VITA-340,2.5933866384100153,1.8184434832271121,237,26,-0.9457090566787107,estimated
DE,VV-VITA-341,1.7627846510663479,1.3608216889541511,243,20,-0.7217003987320324,estimated
DE,VV-VITA-342,2.728729957271844,3.524489639957234,189,8,-1.5451854933210145,estimated
DE,VV-VITA-344,-1.7038026247678486,0.5834231518711733,151,10,-1.7404137773815005,estimated
DE,VV-VITA-345,-1.6101702311595596,1.4193789805121968,233,18,-1.765540177662772,estimated
DE,VV-VITA-346,4.867276218999933,2.1683211412692014,275,23,-0.8290655819468228,estimated
DE,VV-VITA-349,4.201846685210202,2.672252101397803,167,24,-1.2042594999310996,estimated
DE,VV-VITA-351,-0.8262793645749257,2.560460608698211,252,10,-1.717042612309875,estimated
DE,VV-VITA-352,4.454286411397136,1.8748237945343833,227,26,-0.6341788294285003,estimated
DE,VV-VITA-354,2.145965568345544,1.8940688857480936,365,14,-1.0856121728335477,estimated
DE,VV-VITA-355,3.0769767484841863,2.2512846403266344,364,16,-1.142037745494054,estimated
DE,VV-VITA-356,-3.863979351118156,1.2749758252513803,361,47,-2.514493259585744,estimated
DE,VV-VITA-357,-1.4033240037936021,1.115953490862803,171,25,-1.6594367321139862,estimated
DE,VV-VITA-358,-4.052421745870634,4.219243389020982,162,0,-1.927725391494938,estimated
DE,VV-VITA-359,-0.7469437879886092,2.7109456923605655,169,11,-1.7199151442007654,estimated
DE,VV-VITA-360,2.708917199622224,2.105476817539812,137,14,-1.116803912943291,estimated
DE,VV-VITA-361,-1.1694108409049462,2.44572932329759,259,38,-1.749190026674386,estimated
DE,VV-VITA-362,0.11366607132268808,1.8781577668601186,169,15,-1.4607605355316307,estimated
DE,VV-VITA-363,-2.3225251565107605,2.270581806512183,337,44,-1.8972895155963037,estimated
DE,VV-VITA-364,0.9632946751403336,2.484376745475344,338,28,-1.49977983037326,estimated
DE,VV-VITA-365,-2.6517079655833697,1.2970385033250609,247,28,-2.0999452089669712,estimated
DE,VV-VITA-366,-0.03169307906678673,1.630949756968068,246,31,-1.40348773519496,estimated
DE,VV-VITA-367,-1.7591191280370724,1.5808318241563921,161,20,-1.8118004024384717,estimated
DE,VV-VITA-368,-0.38203955484170565,1.8619039265728972,206,22,-1.5508783009369618,estimated
DE,VV-VITA-369,-0.9639877824934262,1.5662073360518511,142,18,-1.6113510120339123,estimated
