promotion_id,promotion_type,asin,promo_price,original_price,start,end
6e217478,Best Deal,B01D3FVKBG,19.46,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6e217478,Best Deal,B08GCFFDMH,16.06,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0DFCRNY8W,15.21,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B081TDP6YF,28.31,29.81,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B0C2QPSPS6,16.92,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0D232K3RP,11.81,11.04,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08JCRVJX7,14.32,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0B6WGC16M,-1.21,0.0,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0DK9KCD8Y,15.21,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B07B9FTCXV,22.01,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B076MBD6KQ,16.78,17.66,2026-02-17 00:00:00,2026-03-17 23:59:00
24319645302,Price Discount,B0FLQMTC82,21.16,19.78,2026-03-10 17:07:00,2026-03-16 23:59:00
6b4f4563,Best Deal,B0D92MFDPB,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B0DQDRRFPF,9.26,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
23985374402,Coupon,B0CS6HDRFW,14.3,15.89,2026-02-17 00:00:00,2026-03-19 23:59:00
6e217478,Best Deal,B00SBSJ16C,15.26,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
fd49a7ae,Best Deal,B0FDBB81FJ,27.96,26.13,2026-02-22 00:00:00,2026-02-28 23:59:00
6b4f4563,Best Deal,B077QNG9M4,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0B2Q12FVY,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B07J5M5PZW,16.77,17.66,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0B2WSTP9W,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
23985348002,Coupon,B0CS6GFLRM,14.13,17.66,2026-02-17 00:00:00,2026-03-19 23:59:00
2ef28cba,Best Deal,B0FLQM4R56,33.84,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B096W5QCHX,19.46,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B08GCTM58N,17.66,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0D47FKGDD,12.66,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B087JTHDN1,16.06,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0C2QPSPS6,15.01,15.81,2026-02-17 00:00:00,2026-03-17 23:59:00
23985214102,Coupon,B08JCV95Y3,16.78,17.66,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0C946Q235,19.46,18.19,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B0BK8WLZT5,16.06,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B08GCTM58N,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B09TJXLQ4Z,17.01,17.39,2026-02-17 00:00:00,2026-03-17 23:59:00
6e217478,Best Deal,B089FYV2HT,15.21,14.21,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B075FDQ6KJ,22.01,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B081TDP6YF,23.78,24.07,2026-02-17 00:00:00,2026-03-17 23:59:00
6e217478,Best Deal,B0BMQTBYKT,16.91,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0CMV8JRKN,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0BK8W6JM3,17.68,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
23985374402,Coupon,B0D232K3RP,9.94,11.04,2026-02-17 00:00:00,2026-03-19 23:59:00
6e217478,Best Deal,B0D232K3RP,11.81,11.04,2026-03-10 00:00:00,2026-03-16 23:45:00
23985214102,Coupon,B0B2Q12FVY,17.66,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
6e217478,Best Deal,B0F446RQXB,17.76,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0CS6GFLRM,16.06,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B07J5M5PZW,13.93,14.26,2026-02-17 00:00:00,2026-03-17 23:59:00
23985214102,Coupon,B077QQ2XV8,16.77,17.66,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0D47DZG2Q,12.66,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0DGGVW1NH,16.06,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B09C6FWGJR,22.02,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
23985374402,Coupon,B0D232K3RP,11.69,12.99,2026-02-17 00:00:00,2026-03-19 23:59:00
23985214102,Coupon,B0BMQTBYKT,17.66,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0C2QM9WK6,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0CMXQYZ4S,11.81,11.04,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B087JHVV7T,17.68,18.6,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0D92MHJL8,12.66,11.83,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B076MKZHV4,19.46,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B08JCRVJX7,15.21,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
23985214102,Coupon,B096W5QCHX,20.32,21.4,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B075T82C1X,16.91,15.8,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08B8SJK6K,22.01,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B0DK9L5MWL,11.81,11.04,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B07R5XPNMP,16.91,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0D92M1BPN,14.36,13.42,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B0FDBB81FJ,27.95,26.12,2026-03-10 00:00:00,2026-03-16 23:45:00
6e217478,Best Deal,B0C94719Z8,16.91,15.8,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B077QQ2XV8,16.06,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B08DCY34MX,15.89,16.73,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0DFCRYTBC,10.96,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
