sku,asin,amazon-store,product-name,brand,your-price,sales-price,currency,estimated-referral-fee-per-unit,estimated-variable-closing-fee,expected-domestic-fulfilment-fee-per-unit,COGS
VV-VITA-360,B0D232K3RP,IT,"Caffeina Naturale | 200 mg | Premium: da Guaranà dalla Spagna | Effetto Duraturo | Energia, Concentrazione e Metabolismo | Pre Workout Naturale | Vegan | Vegavero®",Vegavero,15.99,15.99,EUR,2.4,0,3.59,4.18
VV-VITA-360,B0D232K3RP,FR,GUARANA 9090 mg | Avec 200 mg de Caféine NATURELLE | Energie + Concentration | Unique : Sans Additifs & Naturel | Effet Énergisant Prolongé | 120 Gélules Vegan | Vegavero®,Vegavero,16.9,16.9,EUR,2.54,0,4.72,4.18
VV-VITA-360,B0D232K3RP,DE,Koffein Kapseln Vegavero | 200 mg natürliches Caffeine | Aus Guarana Extrakt | Laborgeprüft & Vegan | Hochdosiert | Ohne Füll- und Zusatzstoffe | Deutsche Produktion,Vegavero,13.9,13.9,EUR,2.09,0,2.78,4.18
VV-VITA-359,B0D22XWFBT,ES,LEVADURA DE ARROZ ROJO | 2.9 mg Monakolina K | Para Tu Colesterol | con Coenzima Q10 | Función Normal del Corazón | Extractos Estandarizados | Vegan y Sin Aditivos | Vegavero,Vegavero,19.9,19.9,EUR,2.99,0,3.23,5.78
VV-VITA-359,B0D22XWFBT,IT,"Riso Rosso Fermentato | 2,9 mg di Monacolina K | Con Coenzima Q10, Bergamotto e Carciofo | Salute Cardiovascolare e Controllo dei Lipidi | Vegan | No OGM | Vegavero®",Vegavero,21.99,21.99,EUR,3.3,0,4.17,5.78
VV-VITA-359,B0D22XWFBT,FR,"Levure de Riz Rouge | 2,9 mg Monacoline K | Avec Coenzyme Q10, Artichaut et Bergamote | Cholesterol + Santé Cardiovasculaire | 120 Gélules | Sans Additifs & Vegan | Vegavero®",Vegavero,21.9,21.9,EUR,3.29,0,4.72,5.78
VV-VITA-359,B0D22XWFBT,DE,"Roter Reis Plus Kapseln Vegavero® | 2,9 mg Monakolin K | Komplex mit Bergamotte + Artischocke + Q10 | Red Yeast Rice | Flavonoide & Antioxidantien | Ohne Zusatzstoffe | Vegan",Vegavero,18.9,18.9,EUR,2.84,0,2.78,5.78
VV-VITA-357,B0CS6GFLRM,IE,"Vegavero L Taurine 1000 mg Capsules | With L-Theanine, Turmeric, Black Pepper Extract and Vitamin B3 | NO Additives | Lab-Tested | Vegan",Vegavero,17.99,17.99,EUR,2.7,0,1.36,3.91
VV-VITA-357,B0CS6GFLRM,NL,Vegavero Taurine in hoge doseringen | 1000 mg | Met kurkuma & L-theanine uit groene thee-extract | Veganistisch en zonder toevoegingen | 90 capsules,Vegavero,18.99,18.99,EUR,2.85,0,3.23,3.91
VV-VITA-357,B0CS6GFLRM,ES,L Taurina Cápsulas | 1000 mg | Energizante + Concentracion | Cúrcuma + Té Verde + Vitamina B3 | Preentreno | Vegano | Vegavero,Vegavero,15.9,15.9,EUR,2.39,0,3.23,3.91
VV-VITA-357,B0CS6GFLRM,IT,"Taurina 1000 mg | Integratori Sport Pre e Post Workout | con L-Teanina, Curcuma e Vitamina B3 | Capsule ad Alto Dosaggio | No OGM | Vegan | Vegavero®",Vegavero,14.24,14.24,EUR,2.14,0,3.59,3.91
VV-VITA-357,B0CS6GFLRM,FR,L-taurine 1000mg | Avec L-theanine et Curcuma | Anti Age & Fatigue + Performance Sportive | Vegan & Sans Additifs | Vegavero®,Vegavero,15.22,15.22,EUR,2.28,0,4.72,3.91
VV-VITA-357,B0CS6GFLRM,DE,Taurin hochdosiert | 1000 mg | Mit Curcuma & L-Theanin aus Grüntee Extrakt | Vegan & Ohne Zusatzstoffe | 90 Kapseln | Deutsche Produktion von Vegavero,Vegavero,18.9,18.9,EUR,2.84,0,2.78,3.91
VV-VITA-354,B0CPJFC9BP,IE,"Vegavero Certified Organic Mushroom Complex 1300 mg | NO Additives, Lab-Tested | Standardised Bioactive Polysaccharides, Beta Glucans and Hericenones | 90 Capsules | Vegan",Vegavero,23.99,23.99,EUR,3.6,0,1.53,7.66
VV-VITA-354,B0CPJFC9BP,NL,"Vegavero Biologisch Paddenstoelen complex | 1300 mg | 7 ORGANISCHE EXTRACTEN: Reishi, Cordyceps, Shiitake, Chaga, Hericium, Agaricus, Maitake | Bèta-glucanen & polysachariden | Vegan",Vegavero,21.99,21.99,EUR,3.3,0,3.61,7.66
VV-VITA-354,B0CPJFC9BP,ES,BIO Mushroom Complex | Extracto Orgánico | Reishi + Lions Mane + Cordyceps + Shiitake | Sistema Imune y Defensas | Sin Additivos | Vegan | Vanatari,Vegavero,24.9,24.9,EUR,3.74,0,3.85,7.66
VV-VITA-354,B0CPJFC9BP,IT,"Funghi Medicinali BIO | 1.300 mg di: Reishi, Cordyceps, Hericium, Agaricus, Maitake, Shiitake e Chaga | Estratti altamente dosati | Analizzato in laboratorio | Vegan | Vegavero®",Vegavero,25.99,25.99,EUR,3.9,0,4.17,7.66
VV-VITA-354,B0CPJFC9BP,FR,"Complexe 7 Champignons BIO | Avec Extraits Biologiques : Lions mane, Maïtaké, Shiitake, Cordyceps, Reishi, Chaga, Agaricus | 1300 mg | Défense Immunitaire | Vegan & Sans Additifs | Vegavero®",Vegavero,23.9,23.9,EUR,3.59,0,4.72,7.66
VV-VITA-354,B0CPJFC9BP,DE,"Bio Pilz Komplex | 1300 mg | 7 Extrakte: Reishi, Cordyceps, Shiitake, Chaga, Hericium, Agaricus, Maitake | Mushroom Mix - Beta-Glucane & Polysaccharide | Vegan | Dt. Produktion von Vegavero",Vegavero,21.9,21.9,EUR,3.29,0,3.16,7.66
